Station,Borough,2013,2014,2015,2016,2017,2018,change_2018_raw,change_2018_percent,2018 Rank
Hoyt St ,Brooklyn,"2,033,085","2,181,465","2,249,892","2,356,001","2,137,478","1,982,208","-155,270",-7.30%,239
Hoyt-Schermerhorn Sts ,Brooklyn,"2,971,379","2,961,316","3,038,302","3,082,398","3,264,293","3,370,038","105,745",3.20%,144
Jay St-MetroTech ,Brooklyn,"11,793,956","12,197,352","12,765,132","13,091,255","13,007,176","12,504,027","-503,149",-3.90%,23
Jefferson St ,Brooklyn,"2,136,772","2,425,983","2,514,292","2,563,505","2,566,772","2,515,861","-50,911",-2.00%,187
Junius St ,Brooklyn,"690,625","727,369","928,235","681,935","298,119","620,548","322,429",108.20%,395
Kings Hwy ,Brooklyn,"5,697,467","5,693,562","5,905,481","6,014,920","6,040,256","5,895,421","-144,835",-2.40%,72
Kings Hwy ,Brooklyn,"1,134,042","1,137,784","1,202,640","1,398,753","1,531,332","1,356,085","-175,247",-11.40%,313
Kings Hwy ,Brooklyn,"1,630,749","1,687,226","1,710,115","475,763","910,558","1,032,541","121,983",13.40%,347
Kingston Av ,Brooklyn,"1,545,567","1,564,089","1,573,003","1,560,437","1,474,988","1,443,692","-31,296",-2.10%,303
Kingston-Throop Avs ,Brooklyn,"1,834,623","1,887,628","1,992,480","2,031,710","2,085,536","2,099,891","14,355",0.70%,223
Knickerbocker Av ,Brooklyn,"1,018,286","1,147,331","1,288,025","1,288,438","593,366","772,085","178,719",30.10%,382
Kosciuszko St ,Brooklyn,"1,515,244","1,521,002","1,593,719","1,661,644","1,979,192","1,908,610","-70,582",-3.60%,246
Lafayette Av ,Brooklyn,"1,638,947","1,617,464","1,631,737","1,639,947","1,621,121","1,631,673","10,552",0.70%,276
Liberty Av ,Brooklyn,"810,031","807,678","858,554","920,826","886,011","839,241","-46,770",-5.30%,374
Livonia Av ,Brooklyn,"934,287","987,560","1,001,522","1,045,593","1,019,591","994,378","-25,213",-2.50%,355
Lorimer St ,Brooklyn,"1,523,986","1,500,980","1,614,154","1,595,826","1,619,602","1,495,068","-124,534",-7.70%,297
Lorimer St ,Brooklyn,"5,040,719","5,090,344","5,238,736","5,156,893","5,010,601","4,821,359","-189,242",-3.80%,94
Marcy Av ,Brooklyn,"3,681,903","3,953,628","4,204,877","4,272,443","4,199,041","4,171,666","-27,375",-0.70%,114
Montrose Av ,Brooklyn,"2,178,772","2,335,128","2,334,271","2,338,095","2,306,046","2,239,760","-66,286",-2.90%,209
Morgan Av ,Brooklyn,"2,373,595","2,513,823","2,453,723","2,614,617","2,594,607","2,465,927","-128,680",-5.00%,190
Myrtle Av ,Brooklyn,"3,562,631","3,523,740","3,687,468","3,764,562","4,213,096","3,789,470","-423,626",-10.10%,127
Myrtle-Willoughby Avs ,Brooklyn,"1,578,243","1,722,392","1,875,988","1,887,369","1,765,653","1,768,122","2,469",0.10%,260
Myrtle-Wyckoff Avs ,Brooklyn,"5,982,615","6,381,800","6,464,630","6,531,453","7,302,376","6,893,183","-409,193",-5.60%,57
Nassau Av ,Brooklyn,"2,653,526","2,760,220","2,916,005","2,851,899","2,765,172","2,880,235","115,063",4.20%,166
Neck Rd ,Brooklyn,"1,218,313","1,232,947","1,305,776","1,336,596","1,379,473","1,366,989","-12,484",-0.90%,312
Neptune Av ,Brooklyn,"523,554","512,828","531,011","513,566","478,754","433,083","-45,671",-9.50%,410
Nevins St ,Brooklyn,"3,477,861","3,580,156","3,310,625","3,220,745","3,271,270","3,215,723","-55,547",-1.70%,154
New Lots Av ,Brooklyn,"1,975,478","2,038,532","2,155,220","2,065,205","1,810,576","1,644,379","-166,197",-9.20%,274
New Lots Av ,Brooklyn,"1,499,902","1,583,983","1,595,607","1,645,273","1,638,839","1,499,170","-139,669",-8.50%,295
New Utrecht Av ,Brooklyn,"1,654,945","1,716,638","1,857,740","1,784,812","1,651,274","1,503,742","-147,532",-8.90%,292
Newkirk Av ,Brooklyn,"2,393,978","2,431,300","2,476,287","2,395,551","2,315,386","2,221,270","-94,116",-4.10%,213
Newkirk Plaza ,Brooklyn,"3,380,559","3,302,958","3,432,907","3,315,748","3,356,199","3,258,207","-97,992",-2.90%,150
Norwood Av ,Brooklyn,"1,095,573","1,145,643","1,159,274","1,146,658","1,065,073","966,728","-98,345",-9.20%,360
Nostrand Av ,Brooklyn,"1,327,377","1,358,826","1,386,067","1,358,853","1,295,175","1,250,715","-44,460",-3.40%,322
Nostrand Av ,Brooklyn,"5,510,841","5,439,806","5,762,163","5,861,658","5,823,419","5,609,408","-214,011",-3.70%,77
Ocean Pkwy ,Brooklyn,"990,091","969,271","1,022,215","1,016,458","1,022,378","1,018,695","-3,683",-0.40%,350
Park Pl ,Brooklyn,"646,934","608,731","602,858","576,122","575,188","537,340","-37,848",-6.60%,407
Parkside Av ,Brooklyn,"1,381,093","1,617,878","1,692,567","1,783,716","1,953,704","1,979,647","25,943",1.30%,240
Pennsylvania Av ,Brooklyn,"1,752,108","1,746,438","2,111,790","753,493","1,054,654","1,279,685","225,031",21.30%,318
President St ,Brooklyn,"1,216,019","1,221,048","1,243,976","1,226,582","1,227,134","1,197,019","-30,115",-2.50%,327
Prospect Av ,Brooklyn,"1,826,064","1,827,271","1,785,990","1,758,711","961,733","1,638,002","676,269",70.30%,275
Prospect Park ,Brooklyn,"3,190,679","3,312,727","3,327,301","3,272,810","3,421,790","3,289,464","-132,326",-3.90%,149
Ralph Av ,Brooklyn,"1,719,602","1,787,157","1,867,793","1,863,036","1,894,817","1,850,375","-44,442",-2.30%,253
Rockaway Av ,Brooklyn,"1,753,354","1,763,824","526,505","1,534,978","1,685,468","1,412,271","-273,197",-16.20%,306
Rockaway Av ,Brooklyn,"1,615,457","1,641,268","1,721,297","1,786,802","1,794,365","1,790,683","-3,682",-0.20%,259
Saratoga Av ,Brooklyn,"1,777,399","1,791,700","2,442,282","1,208,956","1,702,107","1,535,733","-166,374",-9.80%,285
Sheepshead Bay ,Brooklyn,"4,205,275","4,201,776","4,296,566","4,322,837","4,297,325","4,183,545","-113,780",-2.60%,113
Shepherd Av ,Brooklyn,"988,620","1,027,404","1,059,106","1,059,144","1,038,180","990,387","-47,793",-4.60%,357
Smith-9 Sts ,Brooklyn,"926,087","1,539,209","1,636,221","1,533,167","1,484,326","1,466,151","-18,175",-1.20%,300
Sterling St ,Brooklyn,"1,866,122","1,785,975","1,822,524","1,805,238","1,787,994","1,753,125","-34,869",-2.00%,264
Sutter Av ,Brooklyn,"1,449,524","1,499,122","1,453,567","1,435,112","1,394,283","1,246,958","-147,325",-10.60%,323
Sutter Av-Rutland Rd ,Brooklyn,"2,419,794","2,467,381","2,420,464","2,035,027","1,049,559","1,968,448","918,889",87.60%,241
Union St ,Brooklyn,"2,058,555","2,065,047","2,073,096","2,024,863","1,935,724","2,090,848","155,124",8.00%,226
Utica Av ,Brooklyn,"4,726,582","4,878,678","5,060,099","5,152,649","5,271,782","5,195,786","-75,996",-1.40%,81
